question_id,question_type,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation,reference_url,chatgpt_verified,terminology_status,terminology_notes,exam_section,exam_objectives,topics,difficulty,question_source,review_status,is_outdated
PMLE-0001,single_choice,"You are building an ML model to detect anomalies in real-time sensor data. You will use Pub/Sub to handle incoming requests. You want to store
 the results for analytics and visualization. How should you configure the pipeline?","1 = Dataflow, 2 = AI Platform, 3 = BigQuery","1 = DataProc, 2 = AutoML, 3 = Cloud Bigtable","1 = BigQuery, 2 = AutoML, 3 = Cloud Functions","1 = BigQuery, 2 = AI Platform, 3 = Cloud Storage",,A,"Verified: A. Pub/Sub is the streaming ingestion layer, Dataflow is designed for managed stream processing and can invoke online prediction, and BigQuery is the appropriate analytics/visualization store. The legacy “AI Platform” name is now Vertex AI.",https://cloud.google.com/dataflow/docs/concepts/streaming-with-cloud-pubsub,TRUE,REVIEW_AMBIGUOUS,Generic or unrecognized Vertex AI reference requires contextual review.,Automating and orchestrating ML pipelines,Developing end-to-end ML pipelines,Dataflow; Online Inference; BigQuery; AutoML,Medium,Original Bank,Needs Review,FALSE
PMLE-0002,single_choice,"Your organization wants to make its internal shuttle service route more efficient. The shuttles currently stop at all pick-up points across the city
 every 30 minutes between 7 am and 10 am. The development team has already built an application on Google Kubernetes Engine that requires
 users to confirm their presence and shuttle station one day in advance. What approach should you take?","1. Build a tree-based regression model that predicts how many passengers will be picked up at each shuttle station. 2. Dispatch an
 appropriately sized shuttle and provide the map with the required stops based on the prediction.","1. Build a tree-based classification model that predicts whether the shuttle should pick up passengers at each shuttle station. 2. Dispatch
 an available shuttle and provide the map with the required stops based on the prediction.","1. Build a reinforcement learning model with tree-based classification models that predict the presence of passengers at shuttle stops as
 agents and a reward function around a distance-based metric. 2. Dispatch an appropriately sized shuttle and provide the map with the
 required stops based on the simulated outcome.","1. Define the optimal route as the shortest route that passes by all shuttle stations with confirmed attendance at the given time under
 capacity constraints. 2. Dispatch an appropriately sized shuttle and indicate the required stops on the map.",,D,"The users confirm attendance and pickup location in advance, so passenger presence does not need to be predicted. This is a constrained route-optimization problem: select the shortest feasible route through the confirmed stops and choose a vehicle with sufficient capacity. No machine learning model is required.",https://developers.google.com/maps/documentation/route-optimization/overview,TRUE,,,Scaling prototypes into ML models,"Building models given the task considering cost, complexity, latency, and scalability",Agents; GKE; Classification; Regression,Medium,Original Bank,Verified,FALSE
PMLE-0003,single_choice,"You were asked to investigate failures of a production line component based on sensor readings. After receiving the dataset, you discover that
 less than 1% of the readings are positive examples representing failure incidents. You have tried to train several classification models, but none of
 them converge. How should you resolve the class imbalance problem?",Use the class distribution to generate 10% positive examples.,Use a convolutional neural network with max pooling and softmax activation.,Downsample the data with upweighting to create a sample with 10% positive examples.,Remove negative examples until the numbers of positive and negative examples are equal.,,C,"Verified: C. For a severely imbalanced dataset that fails to converge, Google recommends downsampling the majority class and applying upweighting so the sampled distribution trains efficiently while preserving the original class prior in the loss. A 1:1 deletion strategy can discard too much useful majority-class data.",https://developers.google.com/machine-learning/crash-course/overfitting/imbalanced-datasets,TRUE,,,Collaborating within and across teams to manage data and models,Exploring and preprocessing data for ML,Data Preparation; Classification,Medium,Original Bank,Verified,FALSE
PMLE-0004,single_choice,"You want to rebuild your ML pipeline for structured data on Google Cloud. You are using PySpark to conduct data transformations at scale, but
 your pipelines are taking over 12 hours to run. To speed up development and pipeline run time, you want to use a serverless tool and SQL syntax.
 You have already moved your raw data into Cloud Storage. How should you build the pipeline on Google Cloud while meeting the speed and
 processing requirements?","Use Data Fusion's GUI to build the transformation pipelines, and then write the data into BigQuery.","Convert your PySpark into SparkSQL queries to transform the data, and then run your pipeline on Dataproc to write the data into BigQuery.","Ingest your data into Cloud SQL, convert your PySpark commands into SQL queries to transform the data, and then use federated queries
 from BigQuery for machine learning.","Ingest your data into BigQuery using BigQuery Load, convert your PySpark commands into BigQuery SQL queries to transform the data, and
 then write the transformations to a new table.",,D,"Verified: D. BigQuery is serverless and supports SQL transformations with no cluster management. Data can be loaded from Cloud Storage and transformed with BigQuery SQL into new tables, matching both the serverless and SQL requirements.",https://cloud.google.com/bigquery/docs/loading-data,TRUE,,,Collaborating within and across teams to manage data and models,Exploring and preprocessing data for ML,BigQuery; Data Preparation; Dataproc; Cloud Storage,Medium,Original Bank,Verified,FALSE
PMLE-0005,single_choice,"You manage a team of data scientists who use a cloud-based backend system to submit training jobs. This system has become very difficult to
 administer, and you want to use a managed service instead. The data scientists you work with use many different frameworks, including Keras,
 PyTorch, theano, Scikit-learn, and custom libraries. What should you do?",Use the AI Platform custom containers feature to receive training jobs using any framework.,Configure Kubeflow to run on Google Kubernetes Engine and receive training jobs through TF Job.,"Create a library of VM images on Compute Engine, and publish these images on a centralized repository.",Set up Slurm workload manager to receive jobs that can be scheduled to run on your cloud infrastructure.,,A,"Verified: A. Managed custom training with custom containers supports arbitrary frameworks and custom dependencies without requiring the team to administer GKE, VM-image libraries, or Slurm. The current service name is Agent Platform custom training.",https://cloud.google.com/vertex-ai/docs/training/containers-overview,TRUE,UPDATED_OBVIOUS,Applied official direct product-name mappings only.,Scaling prototypes into ML models,Training models,Custom Training; Custom Containers; Agents; GKE,Easy,Original Bank,Updated 2026,FALSE
PMLE-0006,single_choice,"You work for an online retail company that is creating a visual search engine. You have set up an end-to-end ML pipeline on Google Cloud to
 classify whether an image contains your company's product. Expecting the release of new products in the near future, you configured a retraining
 functionality in the pipeline so that new data can be fed into your ML models. You also want to use AI Platform's continuous evaluation service to
 ensure that the models have high accuracy on your test dataset. What should you do?",Extend your test dataset with images of the newer products when they are introduced to retraining.,Keep the original test dataset unchanged even if newer products are incorporated into retraining.,Replace your test dataset with images of the newer products when they are introduced to retraining.,Update your test dataset with images of the newer products when your evaluation metrics drop below a pre-decided threshold.,,A,"Verified with terminology caveat: B. The evaluation set should evolve to represent both existing and newly introduced product classes; replacing it would lose regression coverage for older products, while waiting for a metric drop is reactive. “AI Platform continuous evaluation” is legacy terminology; current Vertex AI evaluation workflows use a representative ground-truth test dataset and new production data.",https://cloud.google.com/vertex-ai/docs/evaluation/introduction,TRUE,REVIEW_AMBIGUOUS,Generic or unrecognized Vertex AI reference requires contextual review.,Monitoring AI solutions,"Monitoring, testing, and troubleshooting AI solutions",Evaluation Metrics; Computer Vision; Pipelines; Regression,Medium,Original Bank,Needs Review,FALSE
PMLE-0007,single_choice,"You need to build classification workflows over several structured datasets currently stored in BigQuery. Because you will be performing the
 classification several times, you want to complete the following steps without writing code: exploratory data analysis, feature selection, model
 building, training, and hyperparameter tuning and serving. What should you do?",Configure AutoML Tables to perform the classification task.,Run a BigQuery ML task to perform logistic regression for the classification.,Use AI Platform Notebooks to run the classification model with pandas library.,Use AI Platform to run the classification model job configured for hyperparameter tuning.,,A,"Verified with product-name caveat: A. The requirement is a no-code workflow covering data preparation, feature handling, training, tuning, and deployment. AutoML Tables was the matching service and is now represented by Agent Platform AutoML/tabular workflows. BigQuery ML requires SQL and does not match the stated no-code end-to-end requirement as closely.",https://cloud.google.com/vertex-ai/docs/tabular-data/classification-regression/overview,TRUE,UPDATED_OBVIOUS,Applied official direct product-name mappings only.,Architecting low-code AI solutions,Developing ML models using BigQuery ML or AutoML on Gemini Enterprise Agent Platform,AutoML; Classification; BigQuery ML; Agents,Easy,Original Bank,Updated 2026,FALSE
PMLE-0008,single_choice,"You work for a public transportation company and need to build a model to estimate delay times for multiple transportation routes. Predictions
 are served directly to users in an app in real time. Because different seasons and population increases impact the data relevance, you will retrain
 the model every month. You want to follow Google-recommended best practices. How should you configure the end-to-end architecture of the
 predictive model?",Configure Kubeflow Pipelines to schedule your multi-step workflow from training to deploying your model.,"Use a model trained and deployed on BigQuery ML, and trigger retraining with the scheduled query feature in BigQuery.",Write a Cloud Functions script that launches a training and deploying job on AI Platform that is triggered by Cloud Scheduler.,Use Cloud Composer to programmatically schedule a Dataflow job that executes the workflow from training to deploying your model.,,A,"Verified with product-name caveat: A. A managed ML pipeline orchestrator is the appropriate end-to-end mechanism for recurring training through deployment. Kubeflow Pipelines is now run as the managed, serverless Agent Platform Pipelines service, which supports recurring schedules and continuous training.",https://cloud.google.com/vertex-ai/docs/pipelines/schedule-pipeline-run,TRUE,UPDATED_OBVIOUS,Applied official direct product-name mappings only.,Automating and orchestrating ML pipelines,Developing end-to-end ML pipelines; Serving models,Pipelines; Kubeflow; Online Inference; BigQuery ML,Medium,Original Bank,Updated 2026,FALSE
PMLE-0009,single_choice,"You are developing ML models with AI Platform for image segmentation on CT scans. You frequently update your model architectures based on
 the newest available research papers, and have to rerun training on the same dataset to benchmark their performance. You want to minimize
 computation costs and manual intervention while having version control for your code. What should you do?",Use Cloud Functions to identify changes to your code in Cloud Storage and trigger a retraining job.,Use the gcloud command-line tool to submit training jobs on AI Platform when you update your code.,Use Cloud Build linked with Cloud Source Repositories to trigger retraining when new code is pushed to the repository.,Create an automated workflow in Cloud Composer that runs daily and looks for changes in code in Cloud Storage using a sensor.,,C,Verified: C. Source-controlled code plus a Cloud Build repository trigger provides version control and automatically starts a build or training workflow on a push. Manual gcloud submission and daily polling introduce unnecessary intervention and compute delay.,https://cloud.google.com/build/docs/automating-builds/create-manage-triggers,TRUE,,,Automating and orchestrating ML pipelines,Automating model retraining,CI/CD; Pipelines; Cloud Storage; Cloud Run,Medium,Original Bank,Verified,TRUE
PMLE-0010,single_choice,"Your team needs to build a model that predicts whether images contain a driver's license, passport, or credit card. The data engineering team
 already built the pipeline and generated a dataset composed of 10,000 images with driver's licenses, 1,000 images with passports, and 1,000
 images with credit cards. You now have to train a model with the following label map: [`˜drivers_license', `˜passport', `˜credit_card']. Which loss
 function should you use?",Categorical hinge,Binary cross-entropy,Categorical cross-entropy,Sparse categorical cross-entropy,,D,"Verified with ambiguity noted: D is correct when the label map is used to encode each example as a single integer class ID, which is the usual meaning of a label map. Sparse categorical cross-entropy is for mutually exclusive multiclass targets represented as integers; categorical cross-entropy would be correct only if the labels had already been one-hot encoded. The question does not explicitly state the target encoding, so this assumption should be kept in mind.",https://www.tensorflow.org/api_docs/python/tf/keras/losses/SparseCategoricalCrossentropy,TRUE,,,Collaborating within and across teams to manage data and models,Exploring and preprocessing data for ML,Feature Engineering; Computer Vision; Data Preparation; Pipelines,Easy,Original Bank,Verified,FALSE
